Title,Artist,ArtistBio,Nationality,Continent,BeginDate,EndDate,Gender,DateProduced,Medium,DateAcquired,YearAcquired,AgeAtAcquisition,ObjectID,height,width,area,RevURL,ThumbnailURL
"Composition, I",Salvatore Scarpitta,American,American,North America,1919,2007,Male,1959,Oil and casein on canvas strips stretched over armature,1959-04-22,1959,0,80091,116.2,89.1,10353.42,http://www.moma.org/collection/works/80091,http://www.moma.org/media/W1siZiIsIjM3ODk1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d55c44b84172d283
The Campbells Are Coming,John Kane,American,American,North America,1860,1934,Male,1932,Oil and gold paint on paper over composition board,1969-07-22,1969,37,80092,50.8,40.8,2072.64,http://www.moma.org/collection/works/80092,http://www.moma.org/media/W1siZiIsIjIwOTE1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f5bd64bac7fbd3df
Actor's Mask,Paul Klee,German,German,Europe,1879,1940,Male,1924,Oil on canvas mounted on board,1969-07-22,1969,45,80094,36.7,33.8,1240.46,http://www.moma.org/collection/works/80094,http://www.moma.org/media/W1siZiIsIjE1MTQxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c79573ceadecf952
Homage to the Square: White Monument,Josef Albers,American,American,North America,1888,1976,Male,1951,Oil on composition board,1994-12-08,1994,43,80095,81.3,81.3,6609.69,http://www.moma.org/collection/works/80095,http://www.moma.org
The Little Presser,Mervin Jules,American,American,North America,1912,1994,Male,1943,Oil on composition board,1943-11-04,1943,0,80096,29.2,29.5,861.4,http://www.moma.org/collection/works/80096,http://www.moma.org/media/W1siZiIsIjIyNTMzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0b6f7c3c2c556e4e
Meeting Place,Bryan Wynter,British,British,Europe,1915,1981,Male,1957,Oil on canvas,1959-04-22,1959,2,80098,142.2,111.7,15883.74,http://www.moma.org/collection/works/80098,http://www.moma.org
In the Grass,Paul Klee,German,German,Europe,1879,1940,Male,1930,Oil on canvas,1969-07-22,1969,39,80099,42.1,52.5,2210.25,http://www.moma.org/collection/works/80099,http://www.moma.org/media/W1siZiIsIjIxMTcxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=497c3a4620e9b2b2
Obsol,James Brooks,American,American,North America,1906,1992,Male,1964,Oil on canvas,1994-12-08,1994,30,80100,203.2,188,38201.6,http://www.moma.org/collection/works/80100,http://www.moma.org/media/W1siZiIsIjE3OTQxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=381ff36aae551d2a
Still Life D,Manoucher Yektai,American,American,North America,1921,0,Male,1959,Oil on canvas,1959-04-22,1959,0,80102,122.3,172.8,21133.44,http://www.moma.org/collection/works/80102,http://www.moma.org
Blue Monochrome,Yves Klein,French,French,Europe,1928,1962,Male,1961,Dry pigment in synthetic polymer medium on cotton over plywood,1969-07-22,1969,8,80103,195.1,140,27314,http://www.moma.org/collection/works/80103,http://www.moma.org/media/W1siZiIsIjg3MjkiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=5ae6f48870b13cca
Picture with an Archer,Vasily Kandinsky,French,French,Europe,1866,1944,Male,1909,Oil on canvas,1959-04-22,1959,50,80104,175,144.6,25305,http://www.moma.org/collection/works/80104,http://www.moma.org/media/W1siZiIsIjIwNDMyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f5dc06b9c033f270
Convergences,Jean Dubuffet,French,French,Europe,1901,1985,Male,1976,Vinyl paint and pasted paper mounted on canvas,1994-12-08,1994,18,80106,135.3,356.2,48193.86,http://www.moma.org/collection/works/80106,http://www.moma.org/media/W1siZiIsIjE2NzY2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=af4540fc9cdf2d5e
Le Gros,Franz Kline,American,American,North America,1910,1962,Male,1961,Oil on canvas,1969-07-22,1969,8,80108,105,133.8,14049,http://www.moma.org/collection/works/80108,http://www.moma.org/media/W1siZiIsIjIwMzQ0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=984da8006aa11fee
Mondanite XXIV,Jean Dubuffet,French,French,Europe,1901,1985,Male,1975,Vinyl paint on paper mounted on canvas,1994-12-08,1994,19,80110,67,94.3,6318.1,http://www.moma.org/collection/works/80110,http://www.moma.org/media/W1siZiIsIjE3MTA4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=07f8b211de073a5a
Two Nudes,Pablo Picasso,Spanish,Spanish,Europe,1881,1973,Male,1906,Oil on canvas,1959-04-22,1959,53,80111,151.3,93,14070.9,http://www.moma.org/collection/works/80111,http://www.moma.org/media/W1siZiIsIjE1MTQxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5a1e32837117d6c4
The Weeping Woman,Ra�l Anguiano,Mexican,Mexican,North America,1915,2006,Male,1942,Oil on canvas,1942-12-29,1942,0,80114,60,75.2,4512,http://www.moma.org/collection/works/80114,http://www.moma.org/media/W1siZiIsIjE5MzgwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b9cc2c3f50580cf4
The Blue Doll,Alton Pickens,American,American,North America,1917,1991,Male,1942,Oil on canvas,1943-11-04,1943,1,80115,108.9,88.9,9681.21,http://www.moma.org/collection/works/80115,http://www.moma.org
A Tree in Naples,Willem de Kooning,American,American,North America,1904,1997,Male,1960,Oil on canvas,1969-07-22,1969,9,80116,203.7,178.1,36278.97,http://www.moma.org/collection/works/80116,http://www.moma.org/media/W1siZiIsIjIwNTIzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=71202ae1b2116017
Harlequin Self-Portrait,John D. Graham,American,American,North America,1881,1961,Male,1944,Oil and pencil on canvas,1973-12-11,1973,29,80117,61.2,51.3,3139.56,http://www.moma.org/collection/works/80117,http://www.moma.org/media/W1siZiIsIjIwOTE2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f1bb4509c9aa51f4
Abode V with Stairs and Numerous Rooms,Jean Dubuffet,French,French,Europe,1901,1985,Male,1966,Vinyl paint on canvas,1994-12-08,1994,28,80118,146.7,114.3,16767.81,http://www.moma.org/collection/works/80118,http://www.moma.org/media/W1siZiIsIjg3NjEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=aa3cff633c52ec49
Bridge,Fernand Leger,French,French,Europe,1881,1955,Male,1908,Oil on canvas,1967-10-18,1967,59,80121,92.7,72.6,6730.02,http://www.moma.org/collection/works/80121,http://www.moma.org/media/W1siZiIsIjM5MjM1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7f365b43640d2f0c
The Violinist Le Violoniste,Jean Dubuffet,French,French,Europe,1901,1985,Male,1944,Oil on canvas,1994-12-08,1994,50,80124,60.3,73,4401.9,http://www.moma.org/collection/works/80124,http://www.moma.org/media/W1siZiIsIjEyODE4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7902943e3787164e
Random Site with 5 Personages from the Sites Al_atoires series,Jean Dubuffet,French,French,Europe,1901,1985,Male,1982,Synthetic polymer paint and pasted paper mounted on canvas,1994-12-08,1994,12,80126,67.4,99.7,6719.78,http://www.moma.org/collection/works/80126,http://www.moma.org/media/W1siZiIsIjE3NDgzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=793d45769948d45e
Slowly Toward the North,Yves Tanguy,American,American,North America,1900,1955,Male,1942,Oil on canvas,1943-11-04,1943,1,80127,106.7,91.4,9752.38,http://www.moma.org/collection/works/80127,http://www.moma.org/media/W1siZiIsIjIwNDYxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a69e1d3f612b0148
Gregory,Billy Al Bengston,American,American,North America,1934,0,Male,1961,Lacquer and synthetic enamel on composition board,1965-10-07,1965,4,80129,122,122,14884,http://www.moma.org/collection/works/80129,http://www.moma.org/media/W1siZiIsIjExNzMwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=de6ad32477bf027e
Building Facades,Jean Dubuffet,French,French,Europe,1901,1985,Male,1946,Oil on canvas,1994-12-08,1994,48,80130,131.4,162.2,21313.08,http://www.moma.org/collection/works/80130,http://www.moma.org/media/W1siZiIsIjE1MTQyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0c8f2a9a2b9623c2
Synchromy in Blue,Stanton Macdonald-Wright,American,American,North America,1890,1973,Male,1918,Oil on canvas,1967-10-18,1967,49,80131,66.4,51.1,3393.04,http://www.moma.org/collection/works/80131,http://www.moma.org/media/W1siZiIsIjI0Njc4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=40a33728ebd1a3ae
Head of a Girl from the Assemblages d'empreintes series,Jean Dubuffet,French,French,Europe,1901,1985,Male,1954,Oil on canvas,1994-12-08,1994,40,80135,28.6,24.1,689.26,http://www.moma.org/collection/works/80135,http://www.moma.org/media/W1siZiIsIjIwOTE4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=06af23a698dc3d65
Window at Vers,Andre Derain,French,French,Europe,1880,1954,Male,1912,Oil on canvas,1939-12-08,1939,27,80136,130.8,89.5,11706.6,http://www.moma.org/collection/works/80136,http://www.moma.org/media/W1siZiIsIjIwOTE4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=76195a7d758555ad
"The Palace of Curtains, III",Rene Magritte,Belgian,Belgian,Europe,1898,1967,Male,1929,Oil on canvas,1967-10-18,1967,38,80137,81.2,116.4,9451.68,http://www.moma.org/collection/works/80137,http://www.moma.org/media/W1siZiIsIjI2MzU0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=72ea9e3ea0e52dc7
"Solution of Continuity, 24",Hisao Domoto,Japanese,Japanese,Asia,1928,2013,Male,1964,Oil and synthetic polymer paint on canvas,1977-12-13,1977,13,80138,161.6,129.8,20975.68,http://www.moma.org,http://www.moma.org
Chairman of the Board,Helen Frankenthaler,American,American,North America,1928,2011,Female,1971,Synthetic polymer paint and felt-tip pen on canvas,1994-12-08,1994,23,80139,224.2,493.4,110620.28,http://www.moma.org/collection/works/80139,http://www.moma.org/media/W1siZiIsIjcwMzA2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=e11ed9760b59c4c2
"Monastery Farm, Rhode Island",Lawrence Lebduska,American,American,North America,1894,1966,Male,1936,Oil on rubberized cloth,1939-12-08,1939,3,80140,71.8,96.5,6928.7,http://www.moma.org/collection/works/80140,http://www.moma.org
"Item 34, 1964, Spiral IV",Bruce Tippett,British,British,Europe,1933,0,Male,1964,Synthetic polymer paint on canvas,1965-10-07,1965,1,80142,172,172,29584,http://www.moma.org/collection/works/80142,http://www.moma.org
The Leaf of the Artichoke Is an Owl,Arshile Gorky,American,American,North America,1904,1948,Male,1944,Oil on canvas,1977-12-13,1977,33,80143,71.1,91.2,6484.32,http://www.moma.org/collection/works/80143,http://www.moma.org/media/W1siZiIsIjIwNDMzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4ed6008b531229b6
Echo of a Scream,David Alfaro Siqueiros,Mexican,Mexican,North America,1896,1974,Male,1937,Enamel on wood,1939-12-08,1939,2,80144,121.9,91.4,11141.66,http://www.moma.org/collection/works/80144,http://www.moma.org/media/W1siZiIsIjE1MTQyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f8d3ccb7deec9872
Savanna,Gonzalo Ariza,Colombian,Colombian,South America,1912,1995,Male,1942,Oil on canvas,1942-12-29,1942,0,80145,49.2,48.9,2405.88,http://www.moma.org/collection/works/80145,http://www.moma.org
Tableau no. 2 / Composition no. V,Piet Mondrian,Dutch,Dutch,Europe,1872,1944,Male,1914,Oil on canvas,1967-10-18,1967,53,80146,54.8,85.3,4674.44,http://www.moma.org/collection/works/80146,http://www.moma.org/media/W1siZiIsIjM4NjUzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=34020e30a98fb64a
The Mirror,Richard Lindner,French,French,Europe,1881,1955,Male,1925,Oil on canvas,1994-12-08,1994,69,80147,129.5,99.7,12911.15,http://www.moma.org/collection/works/80147,http://www.moma.org/media/W1siZiIsIjE1MTQyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3cf36ff916a7dccd
Two Female Models in the Studio,Philip Pearlstein,American,American,North America,1924,0,Male,1967,Oil on canvas,1973-12-31,1973,6,80150,127.3,153.1,19489.63,http://www.moma.org/collection/works/80150,http://www.moma.org/media/W1siZiIsIjE1MTQyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=867d1ca9361dfd06
Bowl of Fruit,Henri Laurens,French,French,Europe,1885,1954,Male,1922,Glazed stoneware,1977-12-13,1977,55,80151,36,33.4,1202.4,http://www.moma.org/collection/works/80151,http://www.moma.org/media/W1siZiIsIjcyODYwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=74d912c1b0fc1ea9
Composition with Red and Blue,Piet Mondrian,Dutch,Dutch,Europe,1872,1944,Male,1933,Oil on canvas,1967-10-18,1967,34,80153,41.2,33.3,1371.96,http://www.moma.org/collection/works/80153,http://www.moma.org/media/W1siZiIsIjE1OTEzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=639cf9e6251f11ab
June Crossing,Jean Messagier,French,French,Europe,1920,1999,Male,1956,Oil on canvas,1977-12-13,1977,21,80156,149.5,193.9,28988.05,http://www.moma.org/collection/works/80156,http://www.moma.org
"""Or The Mocked Mocker""",Paul Klee,German,German,Europe,1879,1940,Male,1930,Oil on canvas,1939-12-08,1939,9,80157,43.2,52.4,2263.68,http://www.moma.org/collection/works/80157,http://www.moma.org/media/W1siZiIsIjIxMTczOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=949f3d194ac566b4
"Composition in Yellow, Blue, and White, I",Piet Mondrian,Dutch,Dutch,Europe,1872,1944,Male,1937,Oil on canvas,1967-10-18,1967,30,80158,57.1,55.2,3151.92,http://www.moma.org/collection/works/80158,http://www.moma.org/media/W1siZiIsIjIyMzY5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=74bbfec8902d053d
"Composition in Red, Blue, and Yellow",Piet Mondrian,Dutch,Dutch,Europe,1872,1944,Male,1937,Oil on canvas,1967-10-18,1967,30,80160,60.3,55.4,3340.62,http://www.moma.org/collection/works/80160,http://www.moma.org/media/W1siZiIsIjI2NTg4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6b61bce459ba4a44
Accident in the Air,Anton Refregier,American,American,North America,1905,1979,Male,1939,Oil on composition board,1939-12-08,1939,0,80161,48.3,58.4,2820.72,http://www.moma.org/collection/works/80161,http://www.moma.org/media/W1siZiIsIjIwOTIwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8699c6532a956bab
"Glass, Guitar, and Bottle",Pablo Picasso,Spanish,Spanish,Europe,1881,1973,Male,1913,"Oil, cut-and-pasted newspaper, charcoal, and pencil on canvas",1967-10-18,1967,54,80162,65.4,53.6,3505.44,http://www.moma.org/collection/works/80162,http://www.moma.org/media/W1siZiIsIjIwMDUzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d53c391691928fac
The Balcony,Cundo Berm�dez,Cuban,Cuban,North America,1914,2008,Male,1941,Oil on canvas,1942-12-29,1942,1,80165,73.7,58.7,4326.19,http://www.moma.org/collection/works/80165,http://www.moma.org/media/W1siZiIsIjE2MTM3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e4adabb5a66d384d
Painter and Model,Pablo Picasso,Spanish,Spanish,Europe,1881,1973,Male,1928,Oil on canvas,1967-10-18,1967,39,80166,129.8,163,21157.4,http://www.moma.org/collection/works/80166,http://www.moma.org/media/W1siZiIsIjE1MTQzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1b00d39665d28cea
The Scream,Nicholas Africano,American,American,North America,1948,0,Male,1976,"Synthetic polymer paint, oil and wax on canvas",1983-10-11,1983,7,80167,187.5,209.7,39318.75,http://www.moma.org/collection/works/80167,http://www.moma.org
Peter Hunt's Antique Shop,"Edward C. (""Pa"") Hunt",American,American,North America,1870,1934,Male,1930,Oil on canvas,1939-12-08,1939,9,80168,50.8,76.5,3886.2,http://www.moma.org/collection/works/80168,http://www.moma.org
New Chicago Athletic Club,Antonio Berni,Argentine,Argentine,South America,1905,1981,Male,1937,Oil on canvas,1942-12-29,1942,5,80169,184.8,300.4,55513.92,http://www.moma.org/collection/works/80169,http://www.moma.org/media/W1siZiIsIjE2MTM3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=340b3a0d5910cfa7
Free Form,Jackson Pollock,American,American,North America,1912,1956,Male,1946,Oil on canvas,1967-10-18,1967,21,80170,48.9,35.5,1735.95,http://www.moma.org/collection/works/80170,http://www.moma.org/media/W1siZiIsIjE1MTQzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=de19e207c188ea4c
Odol,Stuart Davis,American,American,North America,1892,1964,Male,1924,Oil on cardboard,1997-12-16,1997,73,80171,61,45.7,2787.7,http://www.moma.org/collection/works/80171,http://www.moma.org/media/W1siZiIsIjMyMTkwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=98635f6c39328a68
The Sleeping Gypsy,Henri Rousseau,French,French,Europe,1844,1910,Male,1897,Oil on canvas,1939-12-08,1939,42,80172,129.5,200.7,25990.65,http://www.moma.org/collection/works/80172,http://www.moma.org/media/W1siZiIsIjE1MTQzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d8afee04c0454b41
"Marilyn Monroe, I",James Rosenquist,American,American,North America,1933,2017,Male,1962,Oil and spray enamel on canvas,1967-10-18,1967,5,80174,236.2,183.3,43295.46,http://www.moma.org/collection/works/80174,http://www.moma.org/media/W1siZiIsIjE1MTQzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=967bc429f05e701f
Conversion to Her,Francesco Clemente,Italian,Italian,Europe,1952,0,Male,1983,"Paint on plaster on styrofoam and fiberglass, three panels",1983-10-11,1983,0,80175,244,286.7,69954.8,http://www.moma.org/collection/works/80175,http://www.moma.org/media/W1siZiIsIjIxMTc0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=13ce11c55b263c91
No. F,Yayoi Kusama,Japanese,Japanese,Asia,1929,0,Female,1959,Oil on canvas,1997-12-16,1997,38,80176,105.4,132.1,13923.34,http://www.moma.org/collection/works/80176,http://www.moma.org/media/W1siZiIsIjE1MTQzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6e52ffe35acc38b4
"No. 14 Horizontals, White over Darks",Mark Rothko,American,American,North America,1903,1970,Male,1961,Oil on canvas,1967-10-18,1967,6,80177,143.3,237,33962.1,http://www.moma.org/collection/works/80177,http://www.moma.org/media/W1siZiIsIjIwMjkzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c866a0c70ef22f93
Fez 2,Frank Stella,American,American,North America,1936,0,Male,1964,Fluorescent alkyd on canvas,1997-12-16,1997,33,80178,201,201,40401,http://www.moma.org/collection/works/80178,http://www.moma.org/media/W1siZiIsIjY2MjQwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=1ed20a6ab5a24794
Painting 1943,Ben Nicholson,British,British,Europe,1894,1982,Male,1943,Gouache and pencil on board mounted on painted wood frame,1994-12-08,1994,51,80179,24.8,25.4,629.92,http://www.moma.org/collection/works/80179,http://www.moma.org/media/W1siZiIsIjE2Njk0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=044f2acf7ddecc8b
Bird Blast,Fred Tomaselli,American,American,North America,1956,0,Male,1997,"Pills, leaves, collage, synthetic polymer paint, and resin on wood panel",1997-12-16,1997,0,80180,152.4,152.4,23225.76,http://www.moma.org/collection/works/80180,http://www.moma.org/media/W1siZiIsIjE2MDU0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c2991f673164acb4
Cleopatra's Barge,Andre Bauchant,French,French,Europe,1873,1958,Male,1939,Oil on canvas,1939-12-08,1939,0,80181,81.3,100,8130,http://www.moma.org/collection/works/80181,http://www.moma.org/media/W1siZiIsIjIxMTc0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9665593b3acccddf
Sea Grasses and Blue Sea,Milton Avery,American,American,North America,1885,1965,Male,1958,Oil on canvas,1958-12-19,1958,0,80182,152.7,183.7,28050.99,http://www.moma.org/collection/works/80182,http://www.moma.org/media/W1siZiIsIjE1MTQzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a58206dd5d569142
Gouache 1940-43,Ben Nicholson,British,British,Europe,1894,1982,Male,1940,Gouache on board,1994-12-08,1994,54,80184,24.1,24.8,597.68,http://www.moma.org/collection/works/80184,http://www.moma.org/media/W1siZiIsIjE2Njk0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5029d52ec9dc3002
Umbrella and Bowler,Fernand Leger,French,French,Europe,1881,1955,Male,1926,Oil on canvas,1959-06-11,1959,33,80186,130.1,98.2,12775.82,http://www.moma.org/collection/works/80186,http://www.moma.org/media/W1siZiIsIjE1MDkxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=076e835a89d9c98a
"Figure, I",Marcelo Bonevardi,Argentine,Argentine,South America,1929,1994,Male,1964,"Synthetic polymer paint on joined canvas, with wood and string",1964-11-10,1964,0,80187,63.7,55,3503.5,http://www.moma.org/collection/works/80187,http://www.moma.org/media/W1siZiIsIjcwMzAwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=1b1a62593022ddfa
Gouache 1938-42,Ben Nicholson,British,British,Europe,1894,1982,Male,1938,Gouache and pencil on board,1994-12-08,1994,56,80189,25.4,31.8,807.72,http://www.moma.org/collection/works/80189,http://www.moma.org/media/W1siZiIsIjE2Njk0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8c363434796e7b98
Hans Tietze and Erica Tietze-Conrat,Oskar Kokoschka,Austrian,Austrian,Europe,1886,1980,Male,1909,Oil on canvas,1939-12-08,1939,30,80190,76.5,136.2,10419.3,http://www.moma.org/collection/works/80190,http://www.moma.org/media/W1siZiIsIjY5MjI3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=baa8262739930838
Abraham,Barnett Newman,American,American,North America,1905,1970,Male,1949,Oil on canvas,1959-06-11,1959,10,80191,210.2,87.7,18434.54,http://www.moma.org/collection/works/80191,http://www.moma.org/media/W1siZiIsIjIwNzI4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=51c2b93e1c9a4251
Homage to the Square: Two Whites Between Two Yellows,Josef Albers,American,American,North America,1888,1976,Male,1958,Oil on composition board,1990-12-10,1990,32,80192,101.5,101.5,10302.25,http://www.moma.org/collection/works/80192,http://www.moma.org/media/W1siZiIsIjE1NzQ3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7732719837651b74
Painting,Philip Guston,American,American,North America,1909,1959,Male,1959,Oil on canvas,1959-06-11,1959,0,80195,172.6,182.4,31482.24,http://www.moma.org/collection/works/80195,http://www.moma.org
Naxos,Jack Youngerman,American,American,North America,1926,0,Male,1958,Oil on canvas,1994-12-08,1994,36,80196,190.5,142.6,27165.3,http://www.moma.org/collection/works/80196,http://www.moma.org
Number 3,Kenzo Okada,American,American,North America,1899,1953,Male,1953,Oil on canvas,1959-04-22,1959,6,80197,116.6,78.6,9164.76,http://www.moma.org/collection/works/80197,http://www.moma.org/media/W1siZiIsIjIwOTIxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f6bb8fb582fd6698
1944-N No. 2,Clyfford Still,American,American,North America,1904,1980,Male,1944,Oil on canvas,1967-10-18,1967,23,80198,264.5,221.4,58560.3,http://www.moma.org/collection/works/80198,http://www.moma.org/media/W1siZiIsIjIxNjU1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a24627ddd8e9a6ad
