Title,Artist,ArtistBio,Nationality,Continent,BeginDate,EndDate,Gender,DateProduced,Medium,DateAcquired,YearAcquired,AgeAtAcquisition,ObjectID,height,width,area,RevURL,ThumbnailURL
The Piano Lesson,Henri Matisse,French,French,Europe,1869,1954,Male,1916,Oil on canvas,1946-05-07,1946,30,78908,245.1,212.7,52132.77,http://www.moma.org/collection/works/78908,http://www.moma.org/media/W1siZiIsIjMzMDYxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b113c5114479b468
"Painting, 1",Frans Krajcberg,Brazilian,Brazilian,South America,1921,0,Male,1957,Oil on canvas,1958-10-29,1958,1,78909,91.6,73,6686.8,http://www.moma.org/collection/works/78909,http://www.moma.org/media/W1siZiIsIjE3MDk3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=93c9068ecbcd402e
"Port-en-Bessin, Entrance to the Harbor",Georges-Pierre Seurat,French,French,Europe,1859,1891,Male,1888,Oil on canvas,1934-09-23,1934,46,78912,54.9,65.1,3573.99,http://www.moma.org/collection/works/78912,http://www.moma.org/media/W1siZiIsIjE1MTAwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f873d4d3c9819b1e
Celadon,Gregory Amenoff,American,American,North America,1948,0,Male,1985,Oil on canvas,1985-04-08,1985,0,78914,254.3,254.2,64643.06,http://www.moma.org/collection/works/78914,http://www.moma.org/media/W1siZiIsIjc5NTk4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=3d4ce6009f43e8b1
Michelle,Malcolm Morley,American,American,North America,1931,0,Male,1992,Oil on canvas,1995-05-08,1995,3,78915,202.6,265.5,53790.3,http://www.moma.org/collection/works/78915,http://www.moma.org/media/W1siZiIsIjE2MDUyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6fab1e3edc1d6f20
Country Fair,Pierre Roy,French,French,Europe,1880,1950,Male,1930,Oil on canvas,1940-04-05,1940,10,78916,41,33,1353,http://www.moma.org/collection/works/78916,http://www.moma.org/media/W1siZiIsIjIwODI3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=53d6bc92930c657e
Poplars,Andre Derain,French,French,Europe,1880,1954,Male,1900,Oil on canvas,1947-06-17,1947,47,78917,41.3,32.7,1350.51,http://www.moma.org/collection/works/78917,http://www.moma.org/media/W1siZiIsIjIwODI3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=82fc775906cfc8c0
Purification by Fire,Octave Landuyt,Belgian,Belgian,Europe,1922,0,Male,1957,Oil on composition board,1958-10-29,1958,1,78918,121.7,91,11074.7,http://www.moma.org/collection/works/78918,http://www.moma.org/media/W1siZiIsIjIwODI3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d3a1a744be978926
Giving Birth Astride a Grave,Frank Bowling,Guyanese,Guyanese,South America,1936,0,Male,1973,Synthetic polymer paint on canvas,1974-03-12,1974,1,78919,183.5,122.7,22515.45,http://www.moma.org/collection/works/78919,http://www.moma.org/media/W1siZiIsIjM0NTgwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e49951b795ff39f0
The Bodyguard,Bruno Ceccobelli,Italian,Italian,Europe,1952,0,Male,1982,"Oil paint, tar, sulphur, rope, and metal bucket on tarpaulin",1985-04-08,1985,3,78920,350.6,231.8,81269.08,http://www.moma.org/collection/works/78920,http://www.moma.org/media/W1siZiIsIjMzNjk1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f20473e7976a97eb
Before and After,Andy Warhol,American,American,North America,1928,1987,Male,1961,Casein and pencil on canvas,1995-05-08,1995,34,78921,137.2,177.5,24353,http://www.moma.org/collection/works/78921,http://www.moma.org/media/W1siZiIsIjEyMTI4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8691e557c04e0960
